07/19 03:49:39 AM | 
07/20 11:01:17 PM | GENOTYPE=Genotype(normal=[[('dil_conv_3x3', 1), ('sep_conv_5x5', 0)], [('dil_conv_5x5', 1), ('sep_conv_5x5', 2)], [('sep_conv_5x5', 3), ('dil_conv_3x3', 1)], [('sep_conv_3x3', 3), ('sep_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_5x5', 1)], [('sep_conv_3x3', 0), ('skip_connect', 1)], [('dil_conv_3x3', 2), ('max_pool_3x3', 0)], [('sep_conv_3x3', 3), ('dil_conv_5x5', 1)]], reduce_concat=range(2, 6))
07/20 11:01:17 PM | GPUS=[0]
07/20 11:01:17 PM | GRAD_CLIP=5.0
07/20 11:01:17 PM | INIT_CHANNELS=36
07/20 11:01:17 PM | LAYERS=20
07/20 11:01:17 PM | LR=0.025
07/20 11:01:17 PM | MOMENTUM=0.9
07/20 11:01:17 PM | NAME=cifar10
07/20 11:01:17 PM | PATH=augments/cifar10
07/20 11:01:17 PM | PRINT_FREQ=200
07/20 11:01:17 PM | SEED=2
07/20 11:01:17 PM | WEIGHT_DECAY=0.0003
07/20 11:01:17 PM | WORKERS=4
07/20 11:01:17 PM | 
07/20 11:01:17 PM | Logger is set - training start
07/20 11:01:23 PM | Model size = 4.405 MB
07/20 11:01:23 PM | Epoch 0 LR 0.024999828653092835
07/20 11:03:41 PM | 
07/20 11:03:41 PM | Parameters:
07/20 11:03:41 PM | AUX_WEIGHT=0.4
07/20 11:03:41 PM | BATCH_SIZE=96
07/20 11:03:41 PM | CUTOUT_LENGTH=16
07/20 11:03:41 PM | DATA_PATH=./data/
07/20 11:03:41 PM | DATASET=cifar10
07/20 11:03:41 PM | DROP_PATH_PROB=0.2
07/20 11:03:41 PM | EPOCHS=600
07/20 11:03:41 PM | GENOTYPE=Genotype(normal=[[('sep_conv_5x5', 1), ('dil_conv_5x5', 0)], [('dil_conv_5x5', 1), ('sep_conv_5x5', 2)], [('dil_conv_3x3', 1), ('dil_conv_3x3', 3)], [('sep_conv_3x3', 3), ('dil_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_3x3', 1)], [('skip_connect', 2), ('sep_conv_3x3', 0)], [('max_pool_3x3', 0), ('dil_conv_3x3', 2)], [('dil_conv_5x5', 1), ('dil_conv_3x3', 3)]], reduce_concat=range(2, 6))
07/20 11:03:41 PM | GPUS=[0]
07/20 11:03:41 PM | GRAD_CLIP=5.0
07/20 11:03:41 PM | INIT_CHANNELS=36
07/20 11:03:41 PM | LAYERS=20
07/20 11:03:41 PM | LR=0.025
07/20 11:03:41 PM | MOMENTUM=0.9
07/20 11:03:41 PM | NAME=cifar10
07/20 11:03:41 PM | PATH=augments/cifar10
07/20 11:03:41 PM | PRINT_FREQ=200
07/20 11:03:41 PM | SEED=2
07/20 11:03:41 PM | WEIGHT_DECAY=0.0003
07/20 11:03:41 PM | WORKERS=4
07/20 11:03:41 PM | 
07/20 11:03:41 PM | Logger is set - training start
07/20 11:03:46 PM | Model size = 3.980 MB
07/20 11:03:46 PM | Epoch 0 LR 0.024999828653092835
07/20 11:03:48 PM | Train: [  1/600] Step 000/520 Loss 3.302 Prec@(1,5) (13.5%, 46.9%)
07/20 11:09:02 PM | 
07/20 11:09:02 PM | Parameters:
07/20 11:09:02 PM | AUX_WEIGHT=0.4
07/20 11:09:02 PM | BATCH_SIZE=96
07/20 11:09:02 PM | CUTOUT_LENGTH=16
07/20 11:09:02 PM | DATA_PATH=./data/
07/20 11:09:02 PM | DATASET=cifar10
07/20 11:09:02 PM | DROP_PATH_PROB=0.2
07/20 11:09:02 PM | EPOCHS=600
07/20 11:09:02 PM | GENOTYPE=Genotype(normal=[[('sep_conv_5x5', 1), ('dil_conv_5x5', 0)], [('dil_conv_5x5', 1), ('sep_conv_5x5', 2)], [('dil_conv_3x3', 1), ('dil_conv_3x3', 3)], [('sep_conv_3x3', 3), ('dil_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_3x3', 1)], [('skip_connect', 2), ('sep_conv_3x3', 0)], [('max_pool_3x3', 0), ('dil_conv_3x3', 2)], [('dil_conv_5x5', 1), ('dil_conv_3x3', 3)]], reduce_concat=range(2, 6))
07/20 11:09:02 PM | GPUS=[0]
07/20 11:09:02 PM | GRAD_CLIP=5.0
07/20 11:09:02 PM | INIT_CHANNELS=36
07/20 11:09:02 PM | LAYERS=20
07/20 11:09:02 PM | LR=0.025
07/20 11:09:02 PM | MOMENTUM=0.9
07/20 11:09:02 PM | NAME=cifar10
07/20 11:09:02 PM | PATH=augments/cifar10
07/20 11:09:02 PM | PRINT_FREQ=200
07/20 11:09:02 PM | SEED=2
07/20 11:09:02 PM | WEIGHT_DECAY=0.0003
07/20 11:09:02 PM | WORKERS=4
07/20 11:09:02 PM | 
07/20 11:09:02 PM | Logger is set - training start
07/20 11:09:09 PM | Model size = 3.980 MB
07/20 11:09:34 PM | 
07/20 11:09:34 PM | Parameters:
07/20 11:09:34 PM | AUX_WEIGHT=0.4
07/20 11:09:34 PM | BATCH_SIZE=96
07/20 11:09:34 PM | CUTOUT_LENGTH=16
07/20 11:09:34 PM | DATA_PATH=./data/
07/20 11:09:34 PM | DATASET=cifar10
07/20 11:09:34 PM | DROP_PATH_PROB=0.2
07/20 11:09:34 PM | EPOCHS=600
07/20 11:09:34 PM | GENOTYPE=Genotype(normal=[[('sep_conv_5x5', 1), ('dil_conv_5x5', 0)], [('dil_conv_5x5', 1), ('sep_conv_5x5', 2)], [('dil_conv_3x3', 1), ('dil_conv_3x3', 3)], [('sep_conv_3x3', 3), ('dil_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_3x3', 1)], [('skip_connect', 2), ('sep_conv_3x3', 0)], [('max_pool_3x3', 0), ('dil_conv_3x3', 2)], [('dil_conv_5x5', 1), ('dil_conv_3x3', 3)]], reduce_concat=range(2, 6))
07/20 11:09:34 PM | GPUS=[0]
07/20 11:09:34 PM | GRAD_CLIP=5.0
07/20 11:09:34 PM | INIT_CHANNELS=36
07/20 11:09:34 PM | LAYERS=20
07/20 11:09:34 PM | LR=0.025
07/20 11:09:34 PM | MOMENTUM=0.9
07/20 11:09:34 PM | NAME=cifar10
07/20 11:09:34 PM | PATH=augments/cifar10
07/20 11:09:34 PM | PRINT_FREQ=200
07/20 11:09:34 PM | SEED=2
07/20 11:09:34 PM | WEIGHT_DECAY=0.0003
07/20 11:09:34 PM | WORKERS=4
07/20 11:09:34 PM | 
07/20 11:09:34 PM | Logger is set - training start
07/20 11:09:40 PM | Model size = 3.980 MB
07/20 11:09:40 PM | Epoch 0 LR 0.024999828653092835
07/20 11:09:41 PM | Train: [  1/600] Step 000/001 Loss 3.146 Prec@(1,5) (12.5%, 62.5%)
07/20 11:10:54 PM | 
07/20 11:10:54 PM | Parameters:
07/20 11:10:54 PM | AUX_WEIGHT=0.4
07/20 11:10:54 PM | BATCH_SIZE=96
07/20 11:10:54 PM | CUTOUT_LENGTH=16
07/20 11:10:54 PM | DATA_PATH=./data/
07/20 11:10:54 PM | DATASET=cifar10
07/20 11:10:54 PM | DROP_PATH_PROB=0.2
07/20 11:10:54 PM | EPOCHS=600
07/20 11:10:54 PM | GENOTYPE=Genotype(normal=[[('sep_conv_5x5', 1), ('dil_conv_5x5', 0)], [('dil_conv_5x5', 1), ('sep_conv_5x5', 2)], [('dil_conv_3x3', 1), ('dil_conv_3x3', 3)], [('sep_conv_3x3', 3), ('dil_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_3x3', 1)], [('skip_connect', 2), ('sep_conv_3x3', 0)], [('max_pool_3x3', 0), ('dil_conv_3x3', 2)], [('dil_conv_5x5', 1), ('dil_conv_3x3', 3)]], reduce_concat=range(2, 6))
07/20 11:10:54 PM | GPUS=[0]
07/20 11:10:54 PM | GRAD_CLIP=5.0
07/20 11:10:54 PM | INIT_CHANNELS=36
07/20 11:10:54 PM | LAYERS=20
07/20 11:10:54 PM | LR=0.025
07/20 11:10:54 PM | MOMENTUM=0.9
07/20 11:10:54 PM | NAME=cifar10
07/20 11:10:54 PM | PATH=augments/cifar10
07/20 11:10:54 PM | PRINT_FREQ=200
07/20 11:10:54 PM | SEED=2
07/20 11:10:54 PM | WEIGHT_DECAY=0.0003
07/20 11:10:54 PM | WORKERS=4
07/20 11:10:54 PM | 
07/20 11:10:54 PM | Logger is set - training start
07/20 11:11:00 PM | Model size = 3.980 MB
07/20 11:11:23 PM | 
07/20 11:11:23 PM | Parameters:
07/20 11:11:23 PM | AUX_WEIGHT=0.4
07/20 11:11:23 PM | BATCH_SIZE=96
07/20 11:11:23 PM | CUTOUT_LENGTH=16
07/20 11:11:23 PM | DATA_PATH=./data/
07/20 11:11:23 PM | DATASET=cifar10
07/20 11:11:23 PM | DROP_PATH_PROB=0.2
07/20 11:11:23 PM | EPOCHS=600
07/20 11:11:23 PM | GENOTYPE=Genotype(normal=[[('sep_conv_5x5', 1), ('dil_conv_5x5', 0)], [('dil_conv_5x5', 1), ('sep_conv_5x5', 2)], [('dil_conv_3x3', 1), ('dil_conv_3x3', 3)], [('sep_conv_3x3', 3), ('dil_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_3x3', 1)], [('skip_connect', 2), ('sep_conv_3x3', 0)], [('max_pool_3x3', 0), ('dil_conv_3x3', 2)], [('dil_conv_5x5', 1), ('dil_conv_3x3', 3)]], reduce_concat=range(2, 6))
07/20 11:11:23 PM | GPUS=[0]
07/20 11:11:23 PM | GRAD_CLIP=5.0
07/20 11:11:23 PM | INIT_CHANNELS=36
07/20 11:11:23 PM | LAYERS=20
07/20 11:11:23 PM | LR=0.025
07/20 11:11:23 PM | MOMENTUM=0.9
07/20 11:11:23 PM | NAME=cifar10
07/20 11:11:23 PM | PATH=augments/cifar10
07/20 11:11:23 PM | PRINT_FREQ=200
07/20 11:11:23 PM | SEED=2
07/20 11:11:23 PM | WEIGHT_DECAY=0.0003
07/20 11:11:23 PM | WORKERS=4
07/20 11:11:23 PM | 
07/20 11:11:23 PM | Logger is set - training start
07/20 11:11:30 PM | Model size = 3.980 MB
07/20 11:11:30 PM | Epoch 0 LR 0.024999828653092835
07/20 11:11:30 PM | Train: [  1/600] Step 000/001 Loss 3.146 Prec@(1,5) (12.5%, 62.5%)
07/20 11:12:24 PM | 
07/20 11:12:24 PM | Parameters:
07/20 11:12:24 PM | AUX_WEIGHT=0.4
07/20 11:12:24 PM | BATCH_SIZE=96
07/20 11:12:24 PM | CUTOUT_LENGTH=16
07/20 11:12:24 PM | DATA_PATH=./data/
07/20 11:12:24 PM | DATASET=cifar10
07/20 11:12:24 PM | DROP_PATH_PROB=0.2
07/20 11:12:24 PM | EPOCHS=600
07/20 11:12:24 PM | GENOTYPE=Genotype(normal=[[('sep_conv_5x5', 1), ('dil_conv_5x5', 0)], [('dil_conv_5x5', 1), ('sep_conv_5x5', 2)], [('dil_conv_3x3', 1), ('dil_conv_3x3', 3)], [('sep_conv_3x3', 3), ('dil_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_3x3', 1)], [('skip_connect', 2), ('sep_conv_3x3', 0)], [('max_pool_3x3', 0), ('dil_conv_3x3', 2)], [('dil_conv_5x5', 1), ('dil_conv_3x3', 3)]], reduce_concat=range(2, 6))
07/20 11:12:24 PM | GPUS=[0]
07/20 11:12:24 PM | GRAD_CLIP=5.0
07/20 11:12:24 PM | INIT_CHANNELS=36
07/20 11:12:24 PM | LAYERS=20
07/20 11:12:24 PM | LR=0.025
07/20 11:12:24 PM | MOMENTUM=0.9
07/20 11:12:24 PM | NAME=cifar10
07/20 11:12:24 PM | PATH=augments/cifar10
07/20 11:12:24 PM | PRINT_FREQ=200
07/20 11:12:24 PM | SEED=2
07/20 11:12:24 PM | WEIGHT_DECAY=0.0003
07/20 11:12:24 PM | WORKERS=4
07/20 11:12:24 PM | 
07/20 11:12:24 PM | Logger is set - training start
07/20 11:12:30 PM | Model size = 3.980 MB
07/20 11:12:30 PM | Epoch 0 LR 0.024999828653092835
07/20 11:12:30 PM | Train: [  1/600] Step 000/000 Loss 3.171 Prec@(1,5) (11.1%, 100.0%)
07/20 11:12:30 PM | Train: [  1/600] Final Prec@1 11.1111%
07/20 11:12:31 PM | Valid: [  1/600] Step 000/104 Loss 2.300 Prec@(1,5) (8.3%, 56.2%)
07/28 06:03:33 PM | 
07/28 06:03:33 PM | Parameters:
07/28 06:03:33 PM | AUX_WEIGHT=0.4
07/28 06:03:33 PM | BATCH_SIZE=96
07/28 06:03:33 PM | CUTOUT_LENGTH=16
07/28 06:03:33 PM | DATA_PATH=./data/
07/28 06:03:33 PM | DATASET=cifar10
07/28 06:03:33 PM | DROP_PATH_PROB=0.2
07/28 06:03:33 PM | EPOCHS=600
07/28 06:03:33 PM | GENOTYPE=Genotype(normal=[[('sep_conv_3x3', 0), ('sep_conv_5x5', 1)], [('sep_conv_3x3', 0), ('sep_conv_3x3', 1)], [('sep_conv_3x3', 0), ('dil_conv_3x3', 1)], [('dil_conv_5x5', 0), ('sep_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('skip_connect', 1)], [('skip_connect', 2), ('max_pool_3x3', 0)], [('max_pool_3x3', 1), ('skip_connect', 3)], [('skip_connect', 2), ('skip_connect', 3)]], reduce_concat=range(2, 6))
07/28 06:03:33 PM | GPUS=[0]
07/28 06:03:33 PM | GRAD_CLIP=5.0
07/28 06:03:33 PM | INIT_CHANNELS=36
07/28 06:03:33 PM | LAYERS=20
07/28 06:03:33 PM | LR=0.025
07/28 06:03:33 PM | MOMENTUM=0.9
07/28 06:03:33 PM | NAME=cifar10
07/28 06:03:33 PM | PATH=augments/cifar10
07/28 06:03:33 PM | PRINT_FREQ=200
07/28 06:03:33 PM | SEED=2
07/28 06:03:33 PM | WEIGHT_DECAY=0.0003
07/28 06:03:33 PM | WORKERS=4
07/28 06:03:33 PM | 
07/28 06:03:33 PM | Logger is set - training start
07/28 06:03:39 PM | Model size = 4.259 MB
07/28 06:03:39 PM | Epoch 0 LR 0.024999828653092835
07/28 06:04:01 PM | 
07/28 06:04:01 PM | Parameters:
07/28 06:04:01 PM | AUX_WEIGHT=0.4
07/28 06:04:01 PM | BATCH_SIZE=96
07/28 06:04:01 PM | CUTOUT_LENGTH=16
07/28 06:04:01 PM | DATA_PATH=./data/
07/28 06:04:01 PM | DATASET=cifar10
07/28 06:04:01 PM | DROP_PATH_PROB=0.2
07/28 06:04:01 PM | EPOCHS=600
07/28 06:04:01 PM | GENOTYPE=Genotype(normal=[[('sep_conv_3x3', 0), ('sep_conv_5x5', 1)], [('sep_conv_3x3', 0), ('sep_conv_3x3', 1)], [('sep_conv_3x3', 0), ('dil_conv_3x3', 1)], [('dil_conv_5x5', 0), ('sep_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('skip_connect', 1)], [('skip_connect', 2), ('max_pool_3x3', 0)], [('max_pool_3x3', 1), ('skip_connect', 3)], [('skip_connect', 2), ('skip_connect', 3)]], reduce_concat=range(2, 6))
07/28 06:04:01 PM | GPUS=[0]
07/28 06:04:01 PM | GRAD_CLIP=5.0
07/28 06:04:01 PM | INIT_CHANNELS=36
07/28 06:04:01 PM | LAYERS=20
07/28 06:04:01 PM | LR=0.025
07/28 06:04:01 PM | MOMENTUM=0.9
07/28 06:04:01 PM | NAME=cifar10
07/28 06:04:01 PM | PATH=augments/cifar10
07/28 06:04:01 PM | PRINT_FREQ=200
07/28 06:04:01 PM | SEED=2
07/28 06:04:01 PM | WEIGHT_DECAY=0.0003
07/28 06:04:01 PM | WORKERS=4
07/28 06:04:01 PM | 
07/28 06:04:01 PM | Logger is set - training start
07/28 06:04:08 PM | Model size = 4.259 MB
07/28 06:04:08 PM | Epoch 0 LR 0.024999828653092835
07/28 06:05:09 PM | 
07/28 06:05:09 PM | Parameters:
07/28 06:05:09 PM | AUX_WEIGHT=0.4
07/28 06:05:09 PM | BATCH_SIZE=48
07/28 06:05:09 PM | CUTOUT_LENGTH=16
07/28 06:05:09 PM | DATA_PATH=./data/
07/28 06:05:09 PM | DATASET=cifar10
07/28 06:05:09 PM | DROP_PATH_PROB=0.2
07/28 06:05:09 PM | EPOCHS=600
07/28 06:05:09 PM | GENOTYPE=Genotype(normal=[[('sep_conv_3x3', 0), ('sep_conv_5x5', 1)], [('sep_conv_3x3', 0), ('sep_conv_3x3', 1)], [('sep_conv_3x3', 0), ('dil_conv_3x3', 1)], [('dil_conv_5x5', 0), ('sep_conv_3x3', 2)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('skip_connect', 1)], [('skip_connect', 2), ('max_pool_3x3', 0)], [('max_pool_3x3', 1), ('skip_connect', 3)], [('skip_connect', 2), ('skip_connect', 3)]], reduce_concat=range(2, 6))
07/28 06:05:09 PM | GPUS=[0]
07/28 06:05:09 PM | GRAD_CLIP=5.0
07/28 06:05:09 PM | INIT_CHANNELS=36
07/28 06:05:09 PM | LAYERS=20
07/28 06:05:09 PM | LR=0.025
07/28 06:05:09 PM | MOMENTUM=0.9
07/28 06:05:09 PM | NAME=cifar10
07/28 06:05:09 PM | PATH=augments/cifar10
07/28 06:05:09 PM | PRINT_FREQ=200
07/28 06:05:09 PM | SEED=2
07/28 06:05:09 PM | WEIGHT_DECAY=0.0003
07/28 06:05:09 PM | WORKERS=4
07/28 06:05:09 PM | 
07/28 06:05:09 PM | Logger is set - training start
07/28 06:05:15 PM | Model size = 4.259 MB
07/28 06:05:15 PM | Epoch 0 LR 0.024999828653092835
07/28 06:05:16 PM | Train: [  1/600] Step 000/1041 Loss 3.279 Prec@(1,5) (14.6%, 56.2%)
07/28 06:06:33 PM | Train: [  1/600] Step 200/1041 Loss 3.190 Prec@(1,5) (14.6%, 61.8%)
07/28 06:07:50 PM | Train: [  1/600] Step 400/1041 Loss 3.010 Prec@(1,5) (19.4%, 71.0%)
07/28 06:09:08 PM | Train: [  1/600] Step 600/1041 Loss 2.863 Prec@(1,5) (23.3%, 75.9%)
07/28 06:10:25 PM | Train: [  1/600] Step 800/1041 Loss 2.758 Prec@(1,5) (26.1%, 78.6%)
07/28 06:11:44 PM | Train: [  1/600] Step 1000/1041 Loss 2.667 Prec@(1,5) (28.5%, 80.8%)
07/28 06:12:01 PM | Train: [  1/600] Step 1041/1041 Loss 2.652 Prec@(1,5) (28.9%, 81.1%)
07/28 06:12:01 PM | Train: [  1/600] Final Prec@1 28.8840%
07/28 06:12:02 PM | Valid: [  1/600] Step 000/208 Loss 1.453 Prec@(1,5) (54.2%, 93.8%)
07/28 06:12:20 PM | Valid: [  1/600] Step 200/208 Loss 1.525 Prec@(1,5) (44.7%, 92.0%)
07/28 06:12:20 PM | Valid: [  1/600] Step 208/208 Loss 1.527 Prec@(1,5) (44.6%, 92.0%)
07/28 06:12:20 PM | Valid: [  1/600] Final Prec@1 44.6400%
07/28 06:12:21 PM | Epoch 1 LR 0.024999314617068905
07/28 06:12:22 PM | Train: [  2/600] Step 000/1041 Loss 2.157 Prec@(1,5) (45.8%, 91.7%)
07/28 06:13:34 PM | Train: [  2/600] Step 200/1041 Loss 2.155 Prec@(1,5) (43.7%, 90.9%)
07/28 06:14:50 PM | Train: [  2/600] Step 400/1041 Loss 2.106 Prec@(1,5) (44.7%, 91.3%)
07/28 06:16:12 PM | Train: [  2/600] Step 600/1041 Loss 2.064 Prec@(1,5) (45.9%, 91.8%)
07/28 06:17:34 PM | Train: [  2/600] Step 800/1041 Loss 2.024 Prec@(1,5) (47.1%, 92.1%)
07/28 06:18:57 PM | Train: [  2/600] Step 1000/1041 Loss 1.983 Prec@(1,5) (48.3%, 92.5%)
07/28 06:19:14 PM | Train: [  2/600] Step 1041/1041 Loss 1.976 Prec@(1,5) (48.5%, 92.5%)
07/28 06:19:14 PM | Train: [  2/600] Final Prec@1 48.4740%
07/28 06:19:15 PM | Valid: [  2/600] Step 000/208 Loss 1.057 Prec@(1,5) (62.5%, 95.8%)
07/28 06:19:33 PM | Valid: [  2/600] Step 200/208 Loss 1.140 Prec@(1,5) (59.9%, 95.7%)
07/28 06:19:33 PM | Valid: [  2/600] Step 208/208 Loss 1.139 Prec@(1,5) (59.8%, 95.7%)
07/28 06:19:33 PM | Valid: [  2/600] Final Prec@1 59.8100%
07/28 06:19:34 PM | Epoch 2 LR 0.02499845790602076
07/28 06:19:35 PM | Train: [  3/600] Step 000/1041 Loss 1.903 Prec@(1,5) (43.8%, 95.8%)
07/28 06:20:59 PM | Train: [  3/600] Step 200/1041 Loss 1.764 Prec@(1,5) (55.1%, 94.1%)
07/28 06:22:09 PM | Train: [  3/600] Step 400/1041 Loss 1.742 Prec@(1,5) (55.2%, 94.4%)
07/28 06:23:16 PM | Train: [  3/600] Step 600/1041 Loss 1.710 Prec@(1,5) (56.1%, 94.6%)
07/28 06:24:22 PM | Train: [  3/600] Step 800/1041 Loss 1.680 Prec@(1,5) (57.0%, 94.8%)
07/28 06:25:45 PM | Train: [  3/600] Step 1000/1041 Loss 1.657 Prec@(1,5) (57.7%, 95.0%)
07/28 06:26:02 PM | Train: [  3/600] Step 1041/1041 Loss 1.651 Prec@(1,5) (57.8%, 95.0%)
07/28 06:26:02 PM | Train: [  3/600] Final Prec@1 57.7780%
07/28 06:26:02 PM | Valid: [  3/600] Step 000/208 Loss 0.917 Prec@(1,5) (68.8%, 95.8%)
07/28 06:26:20 PM | Valid: [  3/600] Step 200/208 Loss 1.000 Prec@(1,5) (65.3%, 96.8%)
07/28 06:26:21 PM | Valid: [  3/600] Step 208/208 Loss 1.002 Prec@(1,5) (65.2%, 96.8%)
07/28 06:26:21 PM | Valid: [  3/600] Final Prec@1 65.2000%
07/28 06:26:22 PM | Epoch 3 LR 0.024997258543435572
07/28 06:26:22 PM | Train: [  4/600] Step 000/1041 Loss 1.602 Prec@(1,5) (58.3%, 97.9%)
07/28 06:27:46 PM | Train: [  4/600] Step 200/1041 Loss 1.493 Prec@(1,5) (62.5%, 96.2%)
07/28 06:29:09 PM | Train: [  4/600] Step 400/1041 Loss 1.496 Prec@(1,5) (62.2%, 96.0%)
07/28 06:30:33 PM | Train: [  4/600] Step 600/1041 Loss 1.489 Prec@(1,5) (62.4%, 96.0%)
07/28 06:31:55 PM | Train: [  4/600] Step 800/1041 Loss 1.472 Prec@(1,5) (62.9%, 96.2%)
07/28 06:33:07 PM | Train: [  4/600] Step 1000/1041 Loss 1.456 Prec@(1,5) (63.3%, 96.3%)
07/28 06:33:24 PM | Train: [  4/600] Step 1041/1041 Loss 1.451 Prec@(1,5) (63.5%, 96.3%)
07/28 06:33:24 PM | Train: [  4/600] Final Prec@1 63.4800%
07/28 06:33:25 PM | Valid: [  4/600] Step 000/208 Loss 0.692 Prec@(1,5) (79.2%, 100.0%)
07/28 06:33:43 PM | Valid: [  4/600] Step 200/208 Loss 0.894 Prec@(1,5) (69.3%, 97.9%)
07/28 06:33:43 PM | Valid: [  4/600] Step 208/208 Loss 0.896 Prec@(1,5) (69.1%, 97.9%)
07/28 06:33:43 PM | Valid: [  4/600] Final Prec@1 69.1200%
07/28 06:33:44 PM | Epoch 4 LR 0.024995716562194466
07/28 06:33:45 PM | Train: [  5/600] Step 000/1041 Loss 1.532 Prec@(1,5) (60.4%, 97.9%)
07/28 06:35:09 PM | Train: [  5/600] Step 200/1041 Loss 1.362 Prec@(1,5) (65.9%, 96.8%)
07/28 06:36:33 PM | Train: [  5/600] Step 400/1041 Loss 1.357 Prec@(1,5) (66.1%, 96.8%)
07/28 06:37:58 PM | Train: [  5/600] Step 600/1041 Loss 1.339 Prec@(1,5) (66.7%, 97.0%)
07/28 06:39:24 PM | Train: [  5/600] Step 800/1041 Loss 1.327 Prec@(1,5) (66.9%, 97.1%)
07/28 06:40:36 PM | Train: [  5/600] Step 1000/1041 Loss 1.318 Prec@(1,5) (67.1%, 97.1%)
07/28 06:40:49 PM | Train: [  5/600] Step 1041/1041 Loss 1.312 Prec@(1,5) (67.3%, 97.2%)
07/28 06:40:49 PM | Train: [  5/600] Final Prec@1 67.2960%
07/28 06:40:49 PM | Valid: [  5/600] Step 000/208 Loss 0.551 Prec@(1,5) (87.5%, 100.0%)
07/28 06:41:04 PM | Valid: [  5/600] Step 200/208 Loss 0.819 Prec@(1,5) (73.1%, 97.9%)
07/28 06:41:05 PM | Valid: [  5/600] Step 208/208 Loss 0.820 Prec@(1,5) (73.0%, 97.9%)
07/28 06:41:05 PM | Valid: [  5/600] Final Prec@1 73.0400%
07/28 06:41:06 PM | Epoch 5 LR 0.024993832004571646
07/28 06:41:06 PM | Train: [  6/600] Step 000/1041 Loss 1.196 Prec@(1,5) (72.9%, 97.9%)
07/28 06:42:13 PM | Train: [  6/600] Step 200/1041 Loss 1.226 Prec@(1,5) (69.3%, 97.4%)
07/28 06:43:18 PM | Train: [  6/600] Step 400/1041 Loss 1.217 Prec@(1,5) (69.6%, 97.4%)
07/28 06:44:39 PM | Train: [  6/600] Step 600/1041 Loss 1.210 Prec@(1,5) (69.9%, 97.4%)
07/28 06:46:01 PM | Train: [  6/600] Step 800/1041 Loss 1.204 Prec@(1,5) (70.2%, 97.4%)
